,state,count_change_percent,sum_change_percent,median_change_percent,boa_count,citi_count,income,total_population,male,female,median_age,bachelor_or_higher,labor,no_insurance,poverty,label
29,New Jersey,-0.043859649122807015,0.09232854176506883,0.2044035048303752,0.31283710895361383,0.05774278215223097,0.8566008008927986,0.21529597319760324,0.026768642447418712,0.06653992395437262,0.20181405895691606,0.3309090909090909,0.18349928876244653,0.39790575916230364,0.08837209302325583,-1.0
30,New Mexico,0.0,0.0,0.0,0.028047464940668825,0.0,0.6129587080680102,0.0386938728174731,0.04015296367112814,0.05323193916349804,0.15192743764172342,0.1309090909090909,0.08250355618776668,0.5863874345549738,0.5627906976744187,0.0
31,New York,0.002577319587628866,0.08638749015413459,0.08180214827966567,0.3408845738942826,0.6587926509186351,0.7130571784940589,0.4938360672637072,0.02103250478011475,0.0722433460076045,0.17460317460317465,0.2781818181818182,0.1422475106685633,0.2827225130890052,0.31162790697674425,-1.0
32,North Carolina,0.0,0.0,0.0,0.19093851132686085,0.0,0.6142453883017134,0.2412166999548998,0.024856596558317484,0.06844106463878316,0.17687074829931965,0.17272727272727273,0.13086770981507817,0.5130890052356021,0.37209302325581395,0.0
33,North Dakota,0.0,0.0,0.0,0.0,0.0,0.7973478631917548,0.004003066812705367,0.06692160611854685,0.02661596958174902,0.10430839002267576,0.14909090909090908,0.2304409672830726,0.24083769633507854,0.10697674418604654,0.0
34,Ohio,-0.0035335689045936395,0.07956630329769732,0.062122064407256365,0.0,0.0,0.6517954441016215,0.28374486180014175,0.030592734225621445,0.06273764258555127,0.20181405895691606,0.13454545454545458,0.14366998577524887,0.2670157068062827,0.3069767441860466,-1.0
35,Oklahoma,0.0,0.08126644453358423,0.10778551770718872,0.03344120819848975,0.0,0.619694085209742,0.08488880871077895,0.04015296367112814,0.05323193916349804,0.12925170068027217,0.09090909090909091,0.1152204836415362,0.6335078534031414,0.344186046511628,2.0
36,Oregon,-0.00847457627118644,0.0924878876183559,0.09122853252514604,0.07335490830636461,0.0,0.7729928444823738,0.08726463501063075,0.04015296367112814,0.05323193916349804,0.1995464852607709,0.21090909090909093,0.1180654338549075,0.3350785340314136,0.344186046511628,-1.0
37,Pennsylvania,0.0,0.0,0.0,0.07982740021574973,0.0,0.7243878421847305,0.3144914889504542,0.02868068833652008,0.06463878326996195,0.23129251700680278,0.1781818181818182,0.13229018492176384,0.27225130890052357,0.2046511627906977,0.0
38,Rhode Island,0.0,0.0,0.0,0.036677454153182305,0.0,0.7698155320685354,0.012138908575478384,0.02103250478011475,0.0722433460076045,0.21088435374149653,0.20363636363636362,0.16785206258890467,0.21465968586387435,0.23720930232558146,0.0
39,South Carolina,0.0,0.0,0.0,0.10571736785329018,0.0,0.5898903695923324,0.10948596095612396,0.024856596558317484,0.06844106463878316,0.18820861678004527,0.12909090909090912,0.10526315789473682,0.5392670157068062,0.4093023255813954,0.0
40,South Dakota,0.0,0.0,0.0,0.0,0.005249343832020997,0.6965535350882951,0.00693310998002706,0.05162523900573619,0.04182509505703414,0.13832199546485263,0.1563636363636364,0.2332859174964437,0.3403141361256545,0.23255813953488372,0.0
